fec_candidate_id,name,party,status,fec_committee_id,cycle,office_state,district,branch,url,crp_id
H8CT01145,"NYE, JENNIFER T.",REP,C,,2018,CT,1,H,https://www.nye4congress.com/,
H2CT02112,"COURTNEY, JOSEPH D",DEM,I,C00410233,2018,CT,2,H,http://www.joecourtney.com/,N00024842
H8CT02101,"POSTEMSKI, DANNY FRANK MR JR",REP,C,C00676098,2018,CT,2,H,,
H8CT02085,"REALE, DANIEL J",LIB,C,C00528810,2018,CT,2,H,,
H6CT03145,"CADENA JR, ANGEL LUIS",REP,C,C00617431,2018,CT,3,H,http://www.angelforcongress.org/,
H0CT03072,"DELAURO, ROSA L",DEM,I,C00238865,2018,CT,3,H,http://www.rosadelauro.com/,N00000615
H8CT04214,"ARORA, HARRY",REP,C,C00664151,2018,CT,4,H,https://www.harryforct.com/,
H8CT04172,"HIMES, JIM",DEM,I,C00434191,2018,CT,4,H,https://www.himesforcongress.com/,N00029070
H8CT05245,"HAYES, JAHANA",DEM,O,C00677898,2018,CT,5,H,https://www.jahanahayes.com/,
H0CT05127,"PISTONE, JOHN",REP,O,C00462663,2018,CT,5,H,http://www.johnpistoneforcongress.org/,N00030781
H8CT05187,"SANTOS, MANNY",REP,O,C00673467,2018,CT,5,H,https://www.santosforcongress.com/,
H8DC01034,"FORD, KIM R.",DEM,C,C00659839,2018,DC,0,H,kimrford4congress.com/,
H0DC00058,"NORTON, ELEANOR HOLMES",DEM,I,C00244335,2018,DC,0,H,nortonforcongress.org,N00001692
H6CA07043,"Miller, George",DEM,C,C00026757,2018,DC,7,H,,
H2CA28113,"Cardenas, Tony",DEM,I,C00498873,2018,DC,29,H,http://www.tonycardenasforcongress.com/,N00033373
S8DE00145,"ARLETT, ROB",REP,C,C00676932,2018,DE,0,S,https://robarlett.com/,
H6DE00206,"BLUNT ROCHESTER, LISA",DEM,I,C00590778,2018,DE,0,H,https://lisabluntrochester.com/,N00038414
S8DE00103,"BOYCE, HENRY CHARLES ""CHUCK"" JR",REP,C,C00633693,2018,DE,0,S,,
S8DE00079,"CARPER, THOMAS R",DEM,I,C00349217,2018,DE,0,S,https://www.carperfordelaware.com/,
S8DE00160,"FROST, NADINE",LIB,C,C00679738,2018,DE,0,S,,
H8DE01036,"MOCKERMAN, CHRISTOPHER WILLIAM",IND,C,C00648352,2018,DE,0,H,gofundme.com/running-for-congress,
S8DE00152,"THEODOROPOULOS, DEMITRI GEORGE",GRE,C,C00678896,2018,DE,0,S,https://voteagainstthemachines.com/,
H6DE00214,"WALKER, SCOTT",REP,C,,2018,DE,0,H,,
S6FL00277,"JONES, LATERESA ANN",REP,C,C00552711,2018,FL,0,S,,N00035791
S0FL00544,"KNEPPER, HOWARD",NNE,C,C00622274,2018,FL,0,S,http://howardknepperforsenate.com/,
S8FL00166,"NELSON, BILL",DEM,I,C00344051,2018,FL,0,S,https://nelsonforsenate.com/,
S8FL00273,"SCOTT, RICK",REP,C,C00676965,2018,FL,0,S,https://rickscottforflorida.com/,
S8FL00232,"THORNE, MARCIA ROBERTA",IND,C,C00620690,2018,FL,0,S,,
S6FL00533,"TOLBERT, CHARLES FREDRICK",NNE,C,,2018,FL,0,S,http://www.cfabamerica.com/,
S0FL00247,"WEEKS, DAVID KENNETH",UNK,C,C00673863,2018,FL,0,S,https://davidweeks.us/,
H6FL01119,"GAETZ, MATT",REP,I,C00612432,2018,FL,1,H,http://mattgaetz.com/,N00039503
H8FL01115,"ZIMMERMAN, JENNIFER MIJARES DR.",DEM,C,C00668715,2018,FL,1,H,https://www.jenniferzimmermanmd.com/,
H6FL02208,"DUNN, NEAL PATRICK MD, FACS",REP,I,C00582304,2018,FL,2,H,https://www.nealdunn.com/,N00037442
H8FL02097,"RACKLEFF, ROBERT BRUCE",DEM,C,C00648519,2018,FL,2,H,https://www.bobrackleff.com/,
H8FL03038,"HINSON, YVONNE HAYES MS",DEM,C,C00655811,2018,FL,3,H,https://www.yvonneforcongress.com/,
H2FL06109,"YOHO, THEODORE SCOTT",REP,I,C00494583,2018,FL,3,H,https://www.tedyoho.com/,N00033220
H8FL04093,"BERRIOS, JOCELINE MS.",NPA,C,C00671123,2018,FL,4,H,https://berrios4congress.com/,
H8FL04077,"BULGER, JASON MICHAEL",NPA,C,C00666156,2018,FL,4,H,http://www.jasonbulgerforcongress.com/,
H2FL04138,"KONIZ, GARY",NNE,C,,2018,FL,4,H,https://www.garykonizforcongress.com/,
H6FL04170,"MURPHY, DANIEL",NNE,C,,2018,FL,4,H,,
H6FL04105,"RUTHERFORD, JOHN",REP,I,C00615294,2018,FL,4,H,http://www.votejohnrutherford.com/,
H8FL04085,"SELMONT, GEORGE AUSTIN",DEM,C,C00671446,2018,FL,4,H,,
H8FL05157,"FULLER, VIRGINIA",REP,C,C00672568,2018,FL,5,H,https://fullerforcongress.com/,
H0FL02086,"LAWSON, ALFRED JR",DEM,I,C00460261,2018,FL,5,H,http://www.allawson.com/,
H8FL06098,"SODERBERG, NANCY",DEM,O,C00649798,2018,FL,6,H,https://soderbergforcongress.com/,
H8FL06148,"WALTZ, MICHAEL",REP,O,C00666396,2018,FL,6,H,https://www.michaelwaltz.com/,
H8FL07062,"MILLER, MIKE",REP,C,C00648816,2018,FL,7,H,http://www.millerforflorida.com/,
H6FL07140,"MURPHY, STEPHANIE",DEM,I,C00620443,2018,FL,7,H,http://www.stephaniemurphyforcongress.com/,
H8FL08102,"PATEL, SANJAY SOMABHAI",DEM,C,C00666404,2018,FL,8,H,https://www.votesanjaypatel.com/,
