fec_candidate_id,name,party,status,state,zip,fec_committee_id,cycle,cand_status,office_state,district,branch,url,crp_id
H8NY04084,"BENNO, AMEER",REP,C,NY,11710,C00675587,2018,C,NY,4,H,https://www.benno4congress.com/,
H4NY04075,"RICE, KATHLEEN",DEM,I,NY,11501,C00555813,2018,C,NY,4,H,https://www.kathleenrice.com/,N00035927
H8NY06048,"MEEKS, GREGORY W.",DEM,I,NY,11432,C00430991,2018,C,NY,5,H,http://www.congressmangregorymeeks.com/,N00001171
H2NY06165,"FUENTES-PADILLA, CHRISTOPHER ROBBIN MR.",LIB,,NY,11364,C00654046,2018,N,NY,6,H,,
H8NY06113,"HILLGARDNER, THOMAS J",GRE,C,NY,11432,C00673798,2018,N,NY,6,H,http://tomhillgardnerforcongress.org/,
H2NY06116,"MENG, GRACE",DEM,I,NY,11365,C00516666,2018,C,NY,6,H,http://gracefornewyork.com/,N00034547
H8NY07087,"LIEBERMAN, JOSEPH",CRV,C,NY,11224,,2018,N,NY,7,H,,
H2NY00010,"VELAZQUEZ, NYDIA M.",DEM,I,NY,11231,C00271312,2018,C,NY,7,H,https://secure.actblue.com/contribute/page/reelectnydia,N00001102
H2NY10092,"JEFFRIES, HAKEEM",DEM,I,NY,11238,C00503052,2018,C,NY,8,H,http://hakeemjeffries.com/,N00033640
H0NY11037,"JOHNSON, ERNEST",CRV,C,NY,11207,,2018,N,NY,8,H,,
H8NY08093,"WHITE, JESSICA L.",REF,C,NY,11216,,2018,N,NY,8,H,,
H4NY09090,"ANABILAH-AZUMAH, JOEL",UNK,C,NY,11203,C00613182,2018,N,NY,9,H,https://www.joelazumah.com/,N00036877
H4NY11138,"CLARKE, YVETTE",DEM,I,NY,11225,C00415331,2018,C,NY,9,H,https://www.voteyvette.com/,N00026961
H8NY09174,"GAYOT, LUTCHI",REP,C,NY,10281,C00673244,2018,N,NY,9,H,https://www.teamgayot.com/,
H8NY10099,"LEVIN, NAOMI",REP,C,NY,10024,C00672360,2018,C,NY,10,H,https://naomiforcongress.com/,
H2NY17071,"NADLER, JERROLD L.",DEM,I,NY,10023,C00290825,2018,C,NY,10,H,http://www.jerrynadler.com/,N00000939
H2NY13062,"BARDEL, HENRY J.",GRE,C,NY,10312,,2018,N,NY,11,H,,
H6NY11174,"DONOVAN, DAN",REP,I,NY,10306,C00571869,2018,C,NY,11,H,http://www.dandonovanforcongress.com/,N00036928
H8NY11113,"ROSE, MAX",DEM,C,NY,10310,C00652248,2018,C,NY,11,H,https://www.maxroseforcongress.com/,
H8NY12152,"HUTCHINS, SCOTT",GRE,C,NY,11101,,2018,N,NY,12,H,https://votescotthutchins.wordpress.com/,
H2NY14037,"MALONEY, CAROLYN B.",DEM,I,NY,10128,C00273169,2018,C,NY,12,H,https://carolynmaloney.com/,N00000078
H8NY12145,"RABIN, ELIOT MR.",REP,C,NY,10028,C00680900,2018,C,NY,12,H,,
H8NY13150,"BUTLER, JINEEA THE NEW AM",REP,C,NY,11021,C00673996,2018,C,NY,13,H,,
H2NY13096,"ESPAILLAT, ADRIANO",DEM,I,NY,10034,C00635722,2018,C,NY,13,H,,N00034549
H8NY07053,"DILLON, JAMES J.",REF,C,NY,11101,,2018,N,NY,14,H,,
H8NY15148,"OCASIO-CORTEZ, ALEXANDRIA",DEM,C,TN,37902,C00639591,2018,C,NY,14,H,https://ocasio2018.com/,
H8NY14133,"PAPPAS, ANTHONY",REP,C,NY,11102,,2018,N,NY,14,H,,
